Ocup_group,Education,Aptitude,Freq
SE - business,E1,A1,42
SE - business,E1,A2,72
SE - business,E1,A3,90
SE - business,E1,A4,27
SE - business,E1,A5,8
SE - business,E2,A1,55
SE - business,E2,A2,82
SE - business,E2,A3,106
SE - business,E2,A4,48
SE - business,E2,A5,18
SE - business,E3,A1,22
SE - business,E3,A2,60
SE - business,E3,A3,85
SE - business,E3,A4,47
SE - business,E3,A5,19
SE - business,E4,A1,3
SE - business,E4,A2,12
SE - business,E4,A3,25
SE - business,E4,A4,8
SE - business,E4,A5,5
SE -professional,E1,A1,1
SE -professional,E1,A2,1
SE -professional,E1,A3,2
SE -professional,E1,A4,2
SE -professional,E1,A5,0
SE -professional,E2,A1,2
SE -professional,E2,A2,2
SE -professional,E2,A3,5
SE -professional,E2,A4,2
SE -professional,E2,A5,0
SE -professional,E3,A1,8
SE -professional,E3,A2,15
SE -professional,E3,A3,25
SE -professional,E3,A4,10
SE -professional,E3,A5,12
SE -professional,E4,A1,19
SE -professional,E4,A2,33
SE -professional,E4,A3,83
SE -professional,E4,A4,45
SE -professional,E4,A5,19
Teacher,E1,A1,0
Teacher,E1,A2,0
Teacher,E1,A3,1
Teacher,E1,A4,0
Teacher,E1,A5,0
Teacher,E2,A1,0
Teacher,E2,A2,3
Teacher,E2,A3,4
Teacher,E2,A4,0
Teacher,E2,A5,0
Teacher,E3,A1,1
Teacher,E3,A2,3
Teacher,E3,A3,5
Teacher,E3,A4,2
Teacher,E3,A5,1
Teacher,E4,A1,19
Teacher,E4,A2,60
Teacher,E4,A3,86
Teacher,E4,A4,36
Teacher,E4,A5,14
Salary - employed,E1,A1,172
Salary - employed,E1,A2,208
Salary - employed,E1,A3,279
Salary - employed,E1,A4,99
Salary - employed,E1,A5,36
Salary - employed,E2,A1,151
Salary - employed,E2,A2,198
Salary - employed,E2,A3,271
Salary - employed,E2,A4,126
Salary - employed,E2,A5,35
Salary - employed,E3,A1,107
Salary - employed,E3,A2,206
Salary - employed,E3,A3,331
Salary - employed,E3,A4,179
Salary - employed,E3,A5,99
Salary - employed,E4,A1,42
Salary - employed,E4,A2,92
Salary - employed,E4,A3,191
Salary - employed,E4,A4,97
Salary - employed,E4,A5,79
