"speed","period","warning","pair"
"1",26,1,1,1
"2",26,1,1,1
"3",26,1,1,1
"4",26,1,1,1
"5",27,1,1,1
"6",28,1,1,1
"7",28,1,1,1
"8",28,1,1,1
"9",28,1,1,1
"10",29,1,1,1
"11",29,1,1,1
"12",29,1,1,1
"13",29,1,1,1
"14",29,1,1,1
"15",29,1,1,1
"16",29,1,1,1
"17",29,1,1,1
"18",30,1,1,1
"19",30,1,1,1
"20",30,1,1,1
"21",31,1,1,1
"22",31,1,1,1
"23",31,1,1,1
"24",31,1,1,1
"25",31,1,1,1
"26",31,1,1,1
"27",31,1,1,1
"28",31,1,1,1
"29",31,1,1,1
"30",31,1,1,1
"31",32,1,1,1
"32",32,1,1,1
"33",32,1,1,1
"34",32,1,1,1
"35",32,1,1,1
"36",32,1,1,1
"37",32,1,1,1
"38",32,1,1,1
"39",32,1,1,1
"40",32,1,1,1
"41",33,1,1,1
"42",33,1,1,1
"43",33,1,1,1
"44",33,1,1,1
"45",33,1,1,1
"46",33,1,1,1
"47",34,1,1,1
"48",34,1,1,1
"49",34,1,1,1
"50",34,1,1,1
"51",34,1,1,1
"52",34,1,1,1
"53",34,1,1,1
"54",34,1,1,1
"55",34,1,1,1
"56",35,1,1,1
"57",35,1,1,1
"58",35,1,1,1
"59",35,1,1,1
"60",36,1,1,1
"61",36,1,1,1
"62",36,1,1,1
"63",36,1,1,1
"64",36,1,1,1
"65",36,1,1,1
"66",36,1,1,1
"67",36,1,1,1
"68",36,1,1,1
"69",36,1,1,1
"70",37,1,1,1
"71",37,1,1,1
"72",37,1,1,1
"73",37,1,1,1
"74",37,1,1,1
"75",37,1,1,1
"76",38,1,1,1
"77",38,1,1,1
"78",38,1,1,1
"79",38,1,1,1
"80",38,1,1,1
"81",38,1,1,1
"82",38,1,1,1
"83",38,1,1,1
"84",39,1,1,1
"85",39,1,1,1
"86",39,1,1,1
"87",40,1,1,1
"88",40,1,1,1
"89",41,1,1,1
"90",42,1,1,1
"91",43,1,1,1
"92",43,1,1,1
"93",43,1,1,1
"94",44,1,1,1
"95",44,1,1,1
"96",45,1,1,1
"97",45,1,1,1
"98",46,1,1,1
"99",46,1,1,1
"100",49,1,1,1
"101",26,2,1,1
"102",27,2,1,1
"103",28,2,1,1
"104",28,2,1,1
"105",29,2,1,1
"106",29,2,1,1
"107",29,2,1,1
"108",29,2,1,1
"109",30,2,1,1
"110",30,2,1,1
"111",30,2,1,1
"112",31,2,1,1
"113",31,2,1,1
"114",31,2,1,1
"115",31,2,1,1
"116",31,2,1,1
"117",31,2,1,1
"118",31,2,1,1
"119",31,2,1,1
"120",31,2,1,1
"121",31,2,1,1
"122",31,2,1,1
"123",32,2,1,1
"124",32,2,1,1
"125",32,2,1,1
"126",32,2,1,1
"127",32,2,1,1
"128",32,2,1,1
"129",32,2,1,1
"130",32,2,1,1
"131",33,2,1,1
"132",33,2,1,1
"133",33,2,1,1
"134",33,2,1,1
"135",33,2,1,1
"136",34,2,1,1
"137",34,2,1,1
"138",34,2,1,1
"139",34,2,1,1
"140",35,2,1,1
"141",35,2,1,1
"142",35,2,1,1
"143",35,2,1,1
"144",35,2,1,1
"145",35,2,1,1
"146",35,2,1,1
"147",35,2,1,1
"148",35,2,1,1
"149",35,2,1,1
"150",35,2,1,1
"151",36,2,1,1
"152",36,2,1,1
"153",36,2,1,1
"154",36,2,1,1
"155",36,2,1,1
"156",36,2,1,1
"157",36,2,1,1
"158",36,2,1,1
"159",36,2,1,1
"160",36,2,1,1
"161",36,2,1,1
"162",36,2,1,1
"163",37,2,1,1
"164",37,2,1,1
"165",37,2,1,1
"166",37,2,1,1
"167",38,2,1,1
"168",38,2,1,1
"169",38,2,1,1
"170",38,2,1,1
"171",38,2,1,1
"172",38,2,1,1
"173",38,2,1,1
"174",39,2,1,1
"175",39,2,1,1
"176",39,2,1,1
"177",40,2,1,1
"178",40,2,1,1
